month,price
01/01/2003,54
02/01/2003,54
03/01/2003,50
04/01/2003,52
05/01/2003,53
06/01/2003,49
07/01/2003,51
08/01/2003,52
09/01/2003,54
10/01/2003,52
11/01/2003,50
12/01/2003,52
01/01/2004,59
02/01/2004,60
03/01/2004,61
04/01/2004,59
05/01/2004,60
06/01/2004,64
07/01/2004,58
08/01/2004,57
09/01/2004,61
10/01/2004,61
11/01/2004,68
12/01/2004,78
01/01/2005,79
02/01/2005,89
03/01/2005,101
04/01/2005,98
05/01/2005,100
06/01/2005,96
07/01/2005,88
08/01/2005,85
09/01/2005,79
10/01/2005,83
11/01/2005,86
12/01/2005,87
01/01/2006,101
02/01/2006,97
03/01/2006,93
04/01/2006,94
05/01/2006,90
06/01/2006,86
07/01/2006,89
08/01/2006,96
09/01/2006,96
10/01/2006,96
11/01/2006,103
12/01/2006,108
01/01/2007,106
02/01/2007,104
03/01/2007,100
04/01/2007,99
05/01/2007,100
06/01/2007,107
07/01/2007,106
08/01/2007,108
09/01/2007,113
10/01/2007,116
11/01/2007,114
12/01/2007,118
01/01/2008,122
02/01/2008,139
03/01/2008,136
04/01/2008,127
05/01/2008,127
06/01/2008,131
07/01/2008,133
08/01/2008,131
09/01/2008,127
10/01/2008,108
11/01/2008,108
12/01/2008,103
01/01/2009,108
02/01/2009,108
03/01/2009,106
04/01/2009,112
05/01/2009,123
06/01/2009,119
07/01/2009,113
08/01/2009,117
09/01/2009,116
10/01/2009,121
11/01/2009,120
12/01/2009,125
01/01/2010,127
02/01/2010,123
03/01/2010,125
04/01/2010,127
05/01/2010,128
06/01/2010,142
07/01/2010,153
08/01/2010,157
09/01/2010,164
10/01/2010,162
11/01/2010,174
12/01/2010,184
